id,name,urlname,link,rating,created,description,organiserName,organiserMemberId
11434752,"Santa Monica Cloud Computing Group - Footprints on the Moon","Santa-Monica-Cloud-Computing-Group-Footprints-on-the-Moon","http://www.meetup.com/Santa-Monica-Cloud-Computing-Group-Footprints-on-the-Moon/",4.27,1386872159000,"<p>This group is for fellow cloud enthusiasts looking to push into uncharted territories of technology. All skill levels are welcome, some of the most innovating ideas can come from the least experienced. I started this group to meet other cloud computing users to gain knowledge and build a community here in Los Angeles. I have a great space for meetups where we can meet on a monthly basis. It doesn't matter if you are a developer, an IT admin, or just a curious observer, everyone adds value to the discussion of cloud computing.</p>","Andy Seltzer",128509452
1818114,"Los Angeles MongoDB User Group","Los-Angeles-MongoDB-User-Group","http://www.meetup.com/Los-Angeles-MongoDB-User-Group/",4.79,1303321594000,"<p>We are a group dedicated to increasing knowledge and awareness about MongoDB, an Open Source, document-oriented, NoSQL database. Please join us for our monthly meetings to explore this flexible and scalable alternative to traditional relational databases like MySQL, Postgres, SQL Server and Oracle.</p>","MongoDB",47839632
11744342,"Research Methods and Data Science Meetup","RMDS_LA","http://www.meetup.com/RMDS_LA/",4.89,1388786401000,"<p>This Research Methods and Data Science meetup group is devoted to make big data useful, and to promote big data technologies. It is a meet-up group bringing together people from research methodology, data science, data professional services, and computing in the greater Los Angeles area. <br> </p>
<p>The focus of the group is about utilizing big data technologies to improve data analytics for social good, and to promote research methods and data science innovation. We plan to run workshops on big data analytics that can be applied to model and visualize open data and other complicated big data sets. Also, we will organize special meetings to discuss special data science projects, as well as data science automation and augmentation. <br> </p>
<p> <br> </p>","Alex Liu",122424012
17058822,"Los Angeles Google Analytics & Business Insights Training","LosAngeles-Google-Analytics-Business-Insights-Training","http://www.meetup.com/LosAngeles-Google-Analytics-Business-Insights-Training/",4.95,1410995965000,"<p>Los Angeles Google Analytics &amp; Business Insights training is open to all business owners looking to increase their sales/leads/profit by understanding their website, their users and how those users interact with the site and their products.&nbsp;</p>
<p><b>We offer FREE monthly webinars here:</b> <a href=""http://university.ppcmasterminds.com/courses/webby-replays"">http://university.ppcmasterminds.com/courses/webby-replays</a>. All webinars are also uploaded so you can watch them at your convenience.</p>
<p>We teach you how to use analytics and reporting tools to understand your visitors/users better - improving their experience, therefore increasing your conversion rates and sales. Analytics &amp; reporting tools range from Google Analytics, Kiss Metrics, Google Tag Manager to SEO reporting &amp; tracking tools.</p>
<p>All speakers are respected in their industry and are well known for their subject matter expertise. Start growing your business and networking with other professionals in the Los Angeles area today!</p>
<p>Connect with us!</p>
<p><a>PPC Masterminds&nbsp;YouTube Page</a><a></a><br><a href=""https://www.facebook.com/ppcmasterminds"">PPC Masterminds Facebook</a><br><br></p>","Zaid Ammari",47550052
17319442,"AdTech LA","AdTechLA","http://www.meetup.com/AdTechLA/",4.89,1412109259000,"<p>This is a group for anyone interested in scalable technology solutions helping to drive revenues for online advertising companies, ad exchanges and social networks. We are about scalable applications, big data, predictive analytics and data science. If you are a tech professional or an executive in any type of online advertising business: display, mobile, video, social or email, then this meetup is for you. </p>
<p>We love to share and learn!<br>

</p>
<p>Welcoming all to this group!</p>
<p> </p>","Mikhail Lyukmanov",9346106
20135444,"DataForward","DataForward","http://www.meetup.com/DataForward/",0,1467392015000,"<p>DataForward is a gathering of professionals across industries who are passionate about data science, big data technologies, and data driven businesses. The group meets once a month at keynote events featuring talks and presentations by industry leaders. The DataForward events are hosted and organized by <a href=""http://www.datascience.com"">DataScience</a>, and livestreamed to audiences all over the world.</p>
<p>The monthly events are dedicated to ""big ideas in big data""- disruptive technologies, building data-driven culture, investment trends, and insights into how existing companies can unlock the value from their data. All events are free to attend.</p>
<p>Stay tuned as we announce speakers for our first keynote event in September.</p>","Justin Charness",208171987
19759640,"Long Beach Python","Long-Beach-Python","http://www.meetup.com/Long-Beach-Python/",5,1458996776000,"The objective of this group is to get Pythonistas' together, to learn and share their experiences using Python as programming language and/or as data science tool-kit in various domains. Come join us to explore programming in general too. Suggestion on talks/discussion topics are welcome.","Guru Devanla",112624742
18315298,"Reseda Homeschool sewing meetup.","Reseda-Homeschool-sewing-meetup","http://www.meetup.com/Reseda-Homeschool-sewing-meetup/",5,1420778032000,"We are a homeschooling group developing our sewing skills and having fun! New hand sewing projects are introduced weekly with special attention to stitches, fabric types, special projects , and patterns. Confidence is developed upon learning what we are capable of creating with our hands and ideas come about with a newfound joy in sewing. Sewing is such an expansive skill, learning the basics will give a good foundation for further development of all that sewing is. We are working on stitch books adding new stitches regularly. Everyone's ideas are integrated into the program. Let's get together and learn new skills ! Kids and moms or dads!","Heather Ofitserov",99899562
18302499,"Couchbase Los Angeles","Couchbase-Los-Angeles","http://www.meetup.com/Couchbase-Los-Angeles/",5,1420476451000,"<p>What is Couchbase?</p>
<p>Couchbase is the company behind Couchbase open source project, a vibrant community of developers and users of Couchbase document-oriented database technology.&nbsp;</p>
<p>Couchbase Server is a packaged version of Couchbase technology that’s available in Community and Enterprise Editions. Couchbase is known for easy scalability, consistent high performance, 24x365 availability, and a flexible data model.&nbsp;</p>
<p>Companies like AOL, Cisco, Concur, LinkedIn, Orbitz, Salesforce.com, Shuffle Master, Zynga and hundreds of others around the world use Couchbase Server for their interactive web and mobile applications.</p>
<p><a href=""http://info.couchbase.com/Community-Newsletter-Signup.html"">Sign up to our Couchbase Developer Newsletter</a></p>","Couchbase",182540881
10338852,"Los Angeles Marketing Analytics Group","Los-Angeles-Marketing-Analytics-Group","http://www.meetup.com/Los-Angeles-Marketing-Analytics-Group/",4.85,1379612953000,"<p><b>Los Angeles Marketing Analytics Group</b>, sponsored and organized by <a href=""http://www.esagegroup.com"">eSage Group</a> is a collection of marketers and analysts that want to share best practices and learn about new trends. We meet monthly on the&nbsp;1st Tuesday at a cool location. </p>
<p>We talk Marketing Analytics from all angles, Attribution, Segmentation, Performance Optimization, ROI, Data Driven Marketing, Metrics, KPI's, Big Data, Internet of Things, and so much more. </p>
<p>We are very fortunate to attract some of the brightest marketers in the area to speak to our group!&nbsp;</p>
<p>Join us to learn and network! We look forward to meeting you at our next one!</p>
<p><img src=""http://photos4.meetupstatic.com/photos/event/e/a/4/4/600_453239972.jpeg""></p>
<p><br></p>
<p> <br></p>","Tina Munro",6854792
