groupId,name,id,urlkey
11434752,"New Technology",9696,"newtech"
11434752,"Cloud Computing",15167,"cloud-computing"
11434752,"Big Data",18062,"big-data"
11434752,"Virtualization",20479,"virtualization"
11434752,"PaaS (Platform as a Service)",31197,"paas"
11434752,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
11434752,"Computer programming",48471,"computer-programming"
11434752,"IaaS (Infrastructure as a Service)",107633,"iaas-infrastructure-as-a-service"
1818114,"Open Source",563,"opensource"
1818114,"High Scalability Computing",24410,"high-scalability-computing"
1818114,"NoSQL",58162,"nosql"
1818114,"MongoDB",121802,"mongodb"
1818114,"Using MongoDB in the cloud",140258,"using-mongodb-in-the-cloud"
11744342,"Software Development",3833,"softwaredev"
11744342,"Data Management",10494,"datamanagement"
11744342,"Cloud Computing",15167,"cloud-computing"
11744342,"Open Government",17619,"open-government"
11744342,"Big Data",18062,"big-data"
11744342,"Machine Learning",29971,"machine-learning"
11744342,"Data Analytics",30928,"data-analytics"
11744342,"Civic Engagement",37181,"civic-engagement"
11744342,"Data Visualization",37381,"data-visualization"
11744342,"Predictive Analytics",38458,"predictive-analytics"
11744342,"Data Mining",55324,"data-mining"
11744342,"Open Data",60043,"open-data"
11744342,"Data Science",102811,"data-science"
11744342,"Applied Statistics",115913,"applied-statistics"
11744342,"decision making",162239,"decision-making"
17058822,"Small Business",389,"smallbiz"
17058822,"WordPress",8304,"wordpress"
17058822,"Online Marketing",15585,"online-marketing"
17058822,"Small Business Marketing Strategy",17325,"small-business-marketing-strategy"
17058822,"SEO (Search Engine Optimization)",23199,"seo-search-engine-optimization"
17058822,"Google adWords",23478,"google-adwords"
17058822,"Data Analytics",30928,"data-analytics"
17058822,"Google Analytics",47790,"google-analytics"
17058822,"Small Business Online Marketing",84796,"small-business-online-marketing"
17319442,"Open Source",563,"opensource"
17319442,"Advertising",690,"advertising"
17319442,"Software Development",3833,"softwaredev"
17319442,"Education & Technology",7203,"edtech"
17319442,"Internet Professionals",10102,"internetpro"
17319442,"Web Technology",10209,"web"
17319442,"Technology",10579,"technology"
17319442,"Web Development",15582,"web-development"
17319442,"Online Advertising",17189,"online-advertising"
17319442,"Hadoop",18060,"hadoop"
17319442,"Big Data",18062,"big-data"
17319442,"High Scalability Computing",24410,"high-scalability-computing"
17319442,"Data Analytics",30928,"data-analytics"
17319442,"Internet Advertising and Marketing",85301,"internet-advertising-and-marketing"
17319442,"Data Science",102811,"data-science"
20135444,"Artificial Intelligence",456,"ai"
20135444,"Open Source",563,"opensource"
20135444,"New Technology",9696,"newtech"
20135444,"Business Strategy",17635,"business-strategy"
20135444,"Big Data",18062,"big-data"
20135444,"Machine Learning",29971,"machine-learning"
20135444,"Data Analytics",30928,"data-analytics"
20135444,"Data Visualization",37381,"data-visualization"
20135444,"Predictive Analytics",38458,"predictive-analytics"
20135444,"Data Mining",55324,"data-mining"
20135444,"Open Data",60043,"open-data"
20135444,"Data Science",102811,"data-science"
20135444,"Technology Startups",108403,"technology-startups"
20135444,"Big Data Analytics",383411,"big-data-analytics"
19759640,"Open Source",563,"opensource"
19759640,"Python",1064,"python"
19759640,"Finance",22467,"finance"
19759640,"Data Analytics",30928,"data-analytics"
19759640,"Predictive Analytics",38458,"predictive-analytics"
19759640,"Computer programming",48471,"computer-programming"
18315298,"Homeschooling",603,"homeschool"
18315298,"Sewing",1111,"sewing"
18315298,"Handmade Crafts",16459,"handmade-crafts"
18315298,"unschool",29710,"unschool"
18315298,"Machine Learning",29971,"machine-learning"
