id,name,city,address_1,address_2,lat,lon
13082252,"Motivo Engineering","Torrance","19821 Hamilton Avenue",,33.85075,-118.287354
13089692,"Long Beach Convention Center ","Long Beach CA 90802","101 S. Pine Ave.",,33.764317,-118.192596
1318084,"The Glendon Bar & Kitchen","Los Angeles","1071 Glendon Avenue",,34.061168,-118.444643
1321803,"Border Stylo Offices","Los Angeles","729 Seward St.",,34.084122,-118.333435
13250762,"jons house","Los Angeles","18550 hatteras st, # 88,  91356",,34.176464,-118.53801
13253372,"The Los Angeles Athletic Club","Los Angeles","431 West 7th Street",,34.046486,-118.255188
13299732,"The Exploratory Makerspace ","Los Angeles","11840 Jefferson Blvd Culver City ",,33.985382,-118.402237
13314782,"GumGum","Santa Monica","1207 4th St #400",,34.018963,-118.497955
13362332,"Loews Santa Monica Beach Hotel","Santa Monica","1700 Ocean Avenue",,34.009117,-118.493034
13545062,"Ctrl.Me ","Venice","606 Venice Blvd, E",,33.988651,-118.460953
13748882,"Cornerstone OnDemand","Santa Monica","1601 Cloverfield Boulevard #620",,34.02813,-118.472557
13932702,"The Chicago School of Professional Psychology","Los Angeles","617 West 7th Street, Room 913",,34.047707,-118.257149
1394183,"Back Bay Conference Center","Irvine","3415 Michelson Dr",,33.672029,-117.834023
1401235,"UCI Beall Center","Irvine","University of California",,33.649455,-117.845796
1403551,"Tom Bradley Youth and Family Center","Los Angeles","5213 West Pico Blvd.",,34.048337,-118.352011
1406640,"Pink Taco ","Los Angeles","Westfield Century City Mall","10250 Santa Monica Blvd.",34.059692,-118.41485
14197392,"WeWork - Hollywood","Los Angeles","7083 Hollywood Boulevard",,34.101685,-118.344353
14208932,"LAX Marriott ","Los Angeles","5855 West Century Blvd",,33.946575,-118.38443
14217812,"Tenten Wilshire LLC","Los Angeles","1010 Wilshire Boulevard",,34.056393,-118.275452
14285142,"Demand Media","Los Angeles","1655 26th Street Santa Monica, CA",,34.029816,-118.469536
14343782,"31Ten Lounge","Santa Monica","3110 Main Street",,33.9977,-118.479507
1439664,"West 4th and Jane","Santa Monica","1432 4th Street",,34.015585,-118.494221
1442504,"UCLA","Los Angeles","(location TBA)",,33.957989,-118.230759
1444726,"Adconion Media Group","Santa Monica","3301 Exposition Blvd ",,34.029426,-118.458587
14456192,"Coloft","Santa Monica","920 Santa Monica Boulevard",,34.020596,-118.489693
1450491,"Working Village","Santa Monica","212 Marine Street 90405","Suite 100",33.998089,-118.479118
1455616,"Factual, Inc.","Los Angeles","1801 Avenue of the Stars, Suite 1450",,34.060265,-118.418419
14665582,"Demand Media Inc","Santa Monica","1655 26th Street",,34.029816,-118.469536
1468300,"Crashspace","Culver City","10526 Venice Blvd.",,34.019254,-118.405231
14710182,"Pasadena convention center","Pasadena","300 E. Green Street",,34.143829,-118.144218
1473844,"Shopzilla ","Los Angeles","12200 Olympic Blvd","4th floor",34.032121,-118.455175
1480879,"Gorilla Nation","Los Angeles","5150 W Goldleaf Circle","1st Floor",33.989243,-118.368754
